Species	Count
Armillaria	19
Aspergillus	8
Rhizoctonia	8
Collybiopsis	4
Bondarzewia	4
Peniophora	4
Trichoderma	4
Agrocybe	4
Serendipita	3
Moniliophthora	3
Leucoagaricus	3
Fusarium	3
Psilocybe	3
Crepidotus	3
Schizophyllum	3
Coprinellus	3
Cyclocybe	3
Mycena	3
Schizopora	2
Trametes	2
Caulochytrium	2
Tricholomella	2
Pholiota	2
Gibberella	2
Leucocoprinus	2
Heterobasidion	2
Galerina	1
Sporothrix	1
Amanita	1
Phlebiopsis	1
Sphaerobolus	1
Hypholoma	1
Rasamsonia	1
Daedalea	1
Neolentinus	1
Grifola	1
Acaromyces	1
Morchella	1
Steccherinum	1
Wallemia	1
Coniophora	1
Boletus	1
Cryphonectria	1
Rhodocollybia	1
Guyanagaster	1
Suillus	1
Lactarius	1
Multifurca	1
Fibroporia	1
Dothistroma	1
Punctularia	1
Cercospora	1
Hermanssonia	1
Meira	1
Hypsizygus	1
Sparassis	1
Panaeolus	1
Dendrothele	1
Lentinus	1
Heliocybe	1
Tetrapyrgos	1
Cristinia	1
Macrolepiota	1
Lentinula	1
Coprinopsis	1
Zymoseptoria	1
Phanerochaete	1
Thanatephorus	1
