Species	Count
Peniophora	8
Collybiopsis	7
Armillaria	7
Talaromyces	5
Pleurotus	4
Trametes	4
Mycena	4
Grifola	3
Tolypocladium	3
Ceratobasidium	3
Fusarium	3
Lyophyllum	3
Scleroderma	2
Pisolithus	2
Pyrrhoderma	2
Ganoderma	2
Moniliophthora	2
Byssochlamys	2
Trichophyton	2
Aspergillus	2
Gymnopilus	2
Psilocybe	2
Tulosesus	2
Boletus	2
Cyclocybe	2
Rhodocollybia	2
Rasamsonia	1
Schizopora	1
Exidia	1
Antrodiella	1
Crepidotus	1
Suillus	1
Laccaria	1
Ceriporiopsis	1
Heterobasidion	1
Galerina	1
Pseudogymnoascus	1
Oidiodendron	1
Leucoagaricus	1
Akanthomyces	1
Beauveria	1
Dendrothele	1
Wallemia	1
Dentipellis	1
Gymnopus	1
Rhizoctonia	1
Agrocybe	1
Tetrapyrgos	1
Phanerochaete	1
Macrolepiota	1
Asterophora	1
Hirsutella	1
Lentinula	1
Conoideocrella	1
Phlebiopsis	1
Gloeophyllum	1
