Filename	Total_AAs	Polar_Charged_Percent	Hydrophobic_Percent	ALA_Percent	ARG_Percent	ASN_Percent	ASP_Percent	CYS_Percent	GLN_Percent	GLU_Percent	HIS_Percent	ILE_Percent	LEU_Percent	LYS_Percent	MET_Percent	PHE_Percent	PRO_Percent	SER_Percent	THR_Percent	TRP_Percent	TYR_Percent	VAL_Percent

### Folder: domains_rosetta_scoring_hydrophobin ###
1R2M_P79073_structure_0001_0001.pdb	70	44.29	48.57	14.29	0.00	2.86	5.71	11.43	4.29	0.00	1.43	5.71	10.00	5.71	0.00	2.86	7.14	4.29	8.57	0.00	0.00	8.57
2B97_P79073_structure_0001_0001.pdb	70	44.29	48.57	14.29	0.00	2.86	5.71	11.43	4.29	0.00	1.43	5.71	10.00	5.71	0.00	2.86	7.14	4.29	8.57	0.00	0.00	8.57
2FMC_Q04571_structure_model1_0001_0001.pdb	82	48.78	40.24	8.54	0.00	7.32	6.10	9.76	2.44	0.00	0.00	7.32	7.32	3.66	1.22	1.22	6.10	10.98	6.10	0.00	2.44	8.54
2FZ6_P52754_structure_0001_0001.pdb	72	45.83	43.06	9.72	1.39	8.33	4.17	11.11	8.33	0.00	0.00	1.39	9.72	2.78	0.00	2.78	8.33	2.78	5.56	0.00	1.39	11.11
2GVM_P52754_structure_0001_0001.pdb	70	44.29	45.71	11.43	1.43	5.71	4.29	11.43	8.57	0.00	0.00	1.43	10.00	2.86	0.00	2.86	8.57	2.86	5.71	0.00	1.43	11.43
2K6A_Q04571_structure_0001_0001.pdb	68	55.88	33.82	8.82	0.00	7.35	5.88	11.76	2.94	0.00	0.00	7.35	2.94	4.41	1.47	1.47	2.94	13.24	7.35	0.00	2.94	8.82
2LFN_Q04571_structure_0001_0001.pdb	68	55.88	32.35	8.82	0.00	7.35	5.88	11.76	2.94	0.00	0.00	7.35	2.94	4.41	1.47	0.00	2.94	13.24	7.35	0.00	2.94	8.82
2LSH_P52750_structure_0001_0001.pdb	118	47.46	41.53	17.80	0.00	8.47	3.39	6.78	1.69	5.08	0.85	2.54	11.86	5.08	0.00	0.85	3.39	8.47	7.63	0.00	0.00	5.08
2N4O_P52751_structure_0001_0001.pdb	95	52.63	40.00	5.26	0.00	8.42	2.11	8.42	5.26	6.32	0.00	12.63	6.32	6.32	1.05	1.05	7.37	12.63	3.16	0.00	0.00	6.32
2NBH_D8QCG9_structure_0001_0001.pdb	107	51.40	35.51	4.67	0.93	7.48	5.61	7.48	1.87	0.93	1.87	5.61	10.28	6.54	0.93	0.00	5.61	8.41	8.41	0.00	1.87	8.41
2PL6_P79073_structure_0001_0001.pdb	71	43.66	49.30	14.08	0.00	2.82	5.63	11.27	4.23	0.00	1.41	5.63	9.86	5.63	0.00	4.23	7.04	4.23	8.45	0.00	0.00	8.45
2PL7_P79073_structure_0001_0001.pdb	67	44.78	49.25	14.93	0.00	2.99	5.97	11.94	4.48	0.00	1.49	4.48	10.45	5.97	0.00	2.99	7.46	4.48	7.46	0.00	0.00	8.96
3QQT_P79073_structure_0001_0001.pdb	70	44.29	48.57	14.29	0.00	2.86	5.71	11.43	4.29	0.00	1.43	5.71	10.00	5.71	0.00	2.86	7.14	4.29	8.57	0.00	0.00	8.57
4AOG_Q7S3P5_structure_0001_0001.pdb	80	46.25	46.25	16.25	3.75	2.50	5.00	10.00	6.25	2.50	1.25	3.75	10.00	0.00	1.25	1.25	8.75	3.75	8.75	0.00	2.50	5.00
4BWH_Q7S3P5_structure_0001_0001.pdb	88	51.14	42.05	17.05	3.41	6.82	5.68	9.09	4.55	2.27	1.14	3.41	6.82	1.14	1.14	2.27	6.82	4.55	10.23	0.00	2.27	4.55
5W0Y_F8NJA2_structure_0001_0001.pdb	88	48.86	35.23	9.09	0.00	14.77	1.14	9.09	6.82	0.00	0.00	5.68	6.82	0.00	0.00	0.00	5.68	11.36	4.55	0.00	1.14	7.95
